OBJECTID,FACILITYID,INTID,SALESFORCEID,SUBTYPEID,NAME,ADDRESS,OWNERSHIP,TOTALSPACECOUNT,EVSPACECOUNT,ADASPACECOUNT,RESERVEDSPACECOUNT,VALIDATION,PARKINGTYPE,NUMBEROFLEVELS,PERMITS,BIPLEASE,BIPAREA,CREATIONDATE,LASTUPDATE,NOTES,SHAPE_Length,SHAPE_Area
2,2,2,0,0,SJ State University 7th Street, ,SJSU Parking,1980,,,,,,,0,0,0,0,2021/06/23 00:08:34+00,none,1434.256565,123290.0296
4,4,4,0,0,SJ State University 10th Street Garage, ,SJSU Parking,1490,,,,,,,0,0,0,0,2021/06/23 00:08:34+00,none,1584.074221,132667.9522
5,5,5,0,0,Cahill Lot 4 (Caltrain 4),"4 Cahill Street, San Jose, CA",City of San Jose,149,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:34+00,none,936.9897092,54333.3593
6,6,6,0,0,Cahill Lot 2 (Caltrain 2),"21 Cahill Street, San Jose, CA",City of San Jose,162,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:34+00,none,947.3984046,55899.87649
7,7,7,0,,Cahill Lot 3 (Caltrain 3),71 Cahill Street,City of San Jose,90,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:34+00,none,778.8291209,37121.44225
8,8,8,0,,Cahill Lot 1 (Caltrain 1),"19 Cahill Street, San Jose, CA",City of San Jose,180,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:34+00,none,1009.595165,62843.3934
9,9,9,0,0,Autumn St. Lot (Akatiff Lot),"350 Autumn Street, San Jose, CA",Privately Owned Parking with Public Access,523,,,,,,,0,0,0,0,2021/06/23 00:08:34+00,none,1151.954855,80214.68018
10,10,10,0,,333 W. Julian,333 W Julian St,Private,1592,,,,,,,0,0,0,,2021/06/23 00:08:34+00,none,2618.978199,186688.5535
11,11,11,0,0,City Hall Garage,"200 East Santa Clara Street, San Jose, CA",City of San Jose,372,7,11,15,No,Garage,1,15,0,0,0,2021/06/23 00:08:34+00,none,1967.916925,207721.3447
12,12,12,,,(City View Plaza Garage) Park Center Plaza I,"115 South Market Street, San Jose, CA",Privately Owned Parking with Public Access,1028,,,,,,,0,0,0,0,2021/06/23 00:08:34+00,none,2420.488765,290281.3793
14,14,14,0,0,10 Almaden,10 Almaden Av,Privately Owned Parking with Public Access,735,,,,,,,0,0,0,,2021/06/23 00:08:34+00,none,1117.857563,40957.28508
15,15,15,,, ,"89 South Almaden Avenue, San Jose, CA",Private,79,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,932.3985208,55804.57787
16,16,16,0,0,Santa Clara/Almaden,"7 North Almaden Boulevard, San Jose, CA",Privately Owned Parking with Public Access,13,,,,,,,0,0,0,,2021/06/23 00:08:35+00,none,699.0499032,21942.31812
17,17,17,,,Comerica - 333 W. Santa Clara,333 West Santa Clara St.,Privately Owned Parking with Public Access,618,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,1048.111077,47758.17848
18,18,18,0,0,County Courthouse,65 Almaden Bl,City of San Jose,49,,,,No,Lot,,0,0,0,,2021/06/23 00:08:35+00,none,717.8734657,30641.21163
19,19,19,,,Opus West - 225 W. Santa Clara,"225 West Santa Clara St, San Jose, CA",Privately Owned Parking with Public Access,803,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,1120.581601,71352.50805
20,20,20,0,0,San Pedro Square,"45 South San Pedro Street, San Jose, CA",Privately Owned Parking with Public Access,126,,,,,,,0,0,0,,2021/06/23 00:08:35+00,none,902.6958648,37883.87434
21,21,21,,,Victory Parking,64 North Market St.,Privately Owned Parking with Public Access,439,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,2143.583207,142743.4163
22,22,22,0,0,3rd Street Garage,"95 North 3rd Street, San Jose, CA",City of San Jose,836,8,13,26,Yes,Garage,6,265,31,89172,,2021/06/23 00:08:35+00,none,1075.7217,55050.01954
23,23,23,,,Koll Building Garage,"60 South Market Street, San Jose, CA",Privately Owned Parking with Public Access,798,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,856.7184793,40976.84825
24,24,24,0,0,Santa Clara St (Under 87),Santa Clara Street and 87,City of San Jose,267,,,,No,Lot,,0,0,0,,2021/06/23 00:08:35+00,none,1455.898665,100649.3561
25,25,25,,,160 W. Santa Clara,"160 West Santa Clara Street, San Jose, CA",Privately Owned Parking with Public Access,528,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,1052.121144,68337.60781
26,26,26,0,0,Hyatt Place Hotel Garage,"282 Almaden Boulevard, San Jose, CA",Privately Owned Parking with Public Access,258,,,,,,,0,0,0,,2021/06/23 00:08:35+00,none,777.7652287,35074.57907
27,27,27,,,Market & San Carlos (Block 8),"298 South Market Street, San Jose, CA",City of San Jose,120,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:35+00,none,1042.004769,44283.17358
28,28,28,0,0,Pavilion Garage,"150 South 1st Street, San Jose, CA",Privately Owned Parking with Public Access,261,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,1172.711431,85660.95731
29,29,29,,,Riverpark,"333 West San Carlos Street, San Jose, CA",Privately Owned Parking with Public Access,1375,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,891.1915096,48920.07011
30,30,30,,0,Globe Garage (25 S 3rd St),"25 South 3rd Street, San Jose, CA",City of San Jose,176,0,3,,Yes,Garage,1,0,0,0,0,2021/06/23 00:08:35+00,none,875.0505443,44812.39361
31,31,31,0,,2nd/San Fernando (Block 2),"8 East San Fernando Street, San Jose, CA",Privately Owned Parking with Public Access,154,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,867.326293,43512.7159
32,32,32,,0,4th Street Garage,"44 South 4th Street, San Jose, CA",City of San Jose,745,6,14,16,Yes,Garage,7,0,0,0,0,2021/06/23 00:08:35+00,none,1080.8719,55832.73137
33,33,33,0,,Ernst & Young Garage,303 Almaden Blvd,Privately Owned Parking with Public Access,400,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,843.4599347,46432.88224
34,34,34,,0,Almaden Bl & Woz Wy Lot,"401 Almaden Boulevard, San Jose, CA",City of San Jose,390,,,,No,Lot,,0,0,0,,2021/06/23 00:08:35+00,none,2283.828865,164011.0188
35,35,35,0,,Nile Parking,"334 South 2nd Street, San Jose, CA",Private,59,,,,,,,0,0,0,0,2021/06/23 00:08:35+00,none,510.6255315,15849.96664
36,36,36,,0,2nd & San Carlos Garage,"280 South 2nd Street, San Jose, CA",City of San Jose,506,7,8,2,Yes,Garage,5,74,6,34210,0,2021/06/23 00:08:35+00,none,881.2825958,47998.33735
37,37,37,0,,Colonnade (201 S. Fourth),"201 South Fourth Street, San Jose, CA",Privately Owned Parking with Public Access,142,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,880.4417813,45163.12205
38,38,38,,0,SJ State University 4th Street, ,SJSU Parking,1500,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,1387.622617,82039.00388
39,39,39,0,,Auzerais and 87 Surface Lot,Auzerais & 87,City of San Jose,71,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:36+00,none,1039.276711,62538.52265
40,40,40,,0,Sentry Lot (nw c/o Notre Dame/,211 Notre Dame Av,Privately Owned Parking with Public Access,80,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,709.5589226,24157.0036
41,41,41,0,, , ,Private,50,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,614.0222973,23534.17316
42,42,42,,0,Community Towers,111 North Market St,Privately Owned Parking with Public Access,101,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,834.8572872,25811.61961
43,43,43,0,,2nd and St James (Oasis Lot),"235 North 2nd Street, San Jose, CA",City of San Jose,130,,,,No,Lot,,0,0,0,0,2021/06/23 00:08:36+00,none,994.1376718,37019.7275
44,44,44,0,0,Valley Title,"350 South 1st Street, San Jose, CA",Privately Owned Parking with Public Access,294,,,,,,,0,0,0,0,2021/06/23 00:08:36+00,none,1649.601056,90722.88581
45,45,45,,,Fountain Alley,35 South Second Street,Privately Owned Parking with Public Access,189,,,,,,,0,0,0,,2021/06/23 00:08:36+00,none,965.7975952,44612.80471
46,46,46,0,0,Gold Building, ,Privately Owned Parking with Public Access,277,,,,,,,0,0,0,,2021/06/23 00:08:36+00,none,555.0494974,18561.28192
47,47,47,,,California Bank & Trust - 84 W. Santa Clara,"84 West Santa Clara Street, San Jose, CA",Private,57,,,,,,,0,0,0,,2021/06/23 00:08:36+00,none,519.2664463,16015.96148
48,48,48,0,0,95 S. Market Street,"95 South Market Street, San Jose, CA",Privately Owned Parking with Public Access,97,,,,,,,0,0,0,,2021/06/23 00:08:36+00,none,543.1787066,17540.46033
